Time,IR_Left,IR_Right,PID_P,PID_I,PID_D,Bumper,Location
54.4,5,0,0.014,0.0009,0,FALSE,Wall
55.03,7,1,0.008,0.0013,-0.0015,FALSE,Wall
55.62,20,4,-0.024,0.0001,-0.008,FALSE,Wall
56.16,13,3,-0.008,-0.0003,0.004,FALSE,Wall
56.74,1,4,0.014,0.0004,0.0055,FALSE,Wall
57.28,1,2,0.018,0.0013,0.001,FALSE,Wall
57.82,4,6,0.004,0.0015,-0.0035,FALSE,Wall
58.36,5,4,0.006,0.0018,0.0005,FALSE,Wall
58.9,4,5,0.006,0.0021,0,FALSE,Wall
59.49,30,3,-0.042,0,-0.012,FALSE,Wall
60.03,79,1,-0.136,-0.0068,-0.0235,FALSE,Wall
60.52,5,3,0.008,-0.0064,0.036,FALSE,Wall
61.02,1,3,0.016,-0.0056,0.002,FALSE,Wall
61.56,8,4,0,-0.0056,-0.004,FALSE,Wall
62.05,9,3,0,-0.0056,0,FALSE,Wall
62.59,4,4,0.008,-0.0052,0.002,FALSE,Wall
63.13,3,2,0.014,-0.0045,0.0015,FALSE,Wall
63.72,2,5,0.01,-0.004,-0.001,FALSE,Wall
64.21,24,3,-0.03,-0.0055,-0.01,FALSE,Wall
64.71,27,4,-0.038,-0.0074,-0.002,FALSE,Wall
65.2,0,3,0.018,-0.0065,0.014,FALSE,Wall
